title,content
Christianna Jeffries was great,Christianna Jeffries was great. So helpful and patient with me. She made it so easy.
My daily experience is Hotmart website…,My daily experience is Hotmart website scam my money from my bank account. Please be careful of Hotmart.
Lots of choices and price points,
Excellent Service,Melanie was an extremely helpful agent in assisting me in choosing appropriate coverage
Great representative,"Great representative, very personable and very helpful."
Melanie was very helpful.,"Melanie was very helpful.. she got me all set up and taken care of in less than 10 mins. I feel I got a good rate. I hope it covers me , should anything go wrong. It was very simple to do everything. I am happy ans feel at ease."
A professional that knows his job,"I had a wonderful experience from the time I made the call, until the end. Kendall was extremly professional, when picking up the call and explained the travel insurance thoroughly, made me feel comfortable asking questions, which he answered knowledgeably , and very patient. So many times you call companies and feel rushed, he took his time to ensure I picked the right coverage. He is a gem, I am grateful to have had him pick up my call."
Purchase experience only,"This review is based only on my purchase experience, as I have not had occasion to make a claim. I appreciate that AARDY gives you access to the fine print of the policies they offer before you purchase, but reading through the fine print can be confusing. Christiana was very helpful in guiding me towards the coverage options that I cared most about so that I would buy a policy that met my needs. It turned out to not be the cheapest policy on offer, but it was still about 30% cheaper than what my travel agent was offering and with the features that I really wanted. We’ll see what happens if I actually make a claim."
Easily navigated site with several…,Easily navigated site with several suggested plans to choose from at reasonable price points.
Quick and Easy,Very quick and easy process. Reasonably priced.
AARDY and Peter are the best!,Peter was extremely helpful and very clear with information and instructions.
Amanda,"Amanda, the agent who helped me, was very courteous, attentive and helped me find the best policy for us at the best rate. She reviewed policies and offered the one that matched my needs and budget. I would definitely recommend her and Aardy."
I spoke with Amanda,I spoke with Amanda. She answered all my questions and assisted me with my purchase. Very pleasant and everything went smoothly.
Quick and easy sign up.,"Quick and easy sign up.
Clear choices and pricing.
Ty"
THE PEOPLE WERE HELPFUL AN FRIENDLY,
Excellent Customer Service,"Excellent, thorough communication skills when I called with a question."
Easy and comprehensive,
Best Customer Support Ever,"I was having such a problem with the prices showing one amount on my phone and another amount on my computer. Josh came to the rescue and figured it all out for me, as I don't purchase anything on my phone. Turns out my AARP Member Discount for the insurance through AARDY uses technology that is only linked to the original source of search. Now I know to always search on the computer and not the phone. Good to know, right? Josh was the most helpful and patient customer representative I have ever encountered, and he deserves more kudos than I give him in this review. He deserves a raise!!!"
Denise assisted me today,Denise assisted me today. I asked 1 million questions and she was patient with each one and very pleasant.
Peter was very helpful in deciding…,Peter was very helpful in deciding which ins I needed.
Peter was exceptional!,"Peter made my experience great! His honesty, professionalism and kindness helped me greatly!"
Maranda was very helpful,"Maranda was very helpful, she helped me feel comfortable with the policy decision I made."
Very helpful professionals,The agent I talked to was very informative and went the extra step to complete additional documentation that I required for my visa
Kendall was very informative and…,Kendall was very informative and friendly
Customer service reps on the phone were…,Customer service reps on the phone were very pleasant and helpful.
Very easy process and a pleasant phone…,Very easy process and a pleasant phone rep.
A Wonderful Experience,"The agent, Kendall, I spoke to was very knowledgable, informative and helpful. Kendall was very thorough , and answered every single concern I had."
Good price & helpful staff,Helpful staff and good price for coverage.
Very knowledgable Customer…,Very knowledgable Customer Service/Sales Rep. Easily answered my questions about the policy and requested upgrades.
Provided a full range of options,"Provided a full range of options, but (a) not easy to compare alternatives and (b) AARP discount offered online inconsistently and was only available by contacting sales in person."
My agent was friendly and knowledgeable.,
Peter,"Peter, my customer service rep, explained everything that I had to know to make a buying decision."
agent was clear and efficient with her…,"agent was clear and efficient with her information, showed patient when i had questions"
Both representatives from AARDY that I…,Both representatives from AARDY that I spoke to over the phone made the purchase of a very affordable policy quick and easy. They answered all my questions because they know the product forwards and backwards. We saved hundreds of dollars insuring our trip with AARDY!
Great Experience!!,"I had a unique trip to insure. I’m so thankful I found AARDY, but specifically the agent, Peter. He was informative, patient, and friendly. Most importantly, after many phone calls (because I couldn’t decide), he helped me to find the perfect policy for what we have coming up. I’ll always use AARDY for future insurance needs."
Easy to Purchase a Policy,"I found it very easy to see information on the policies offered, and what is covered. I would suggest that they specify that all ports and activities are covered on cruises. I had to call to clarify that."
I searched a few companies and your…,I searched a few companies and your insurance fit in my budget. Also like the 100% coverage on the trip cancelation etc.
High ratings and great price,"The top rating, easy to get a quote and competitive price is why we purchased your coverage."
Website was very easy to use.,
Very helpful!,
Insurance for trip to Greece,I purchased travel insurance for a trip to Greece Serenity was very helpful in helping me pick the insurance to meet all my needs.
Easy process and great service!,"We just bought travel insurance for a family’s first trip out of the country and I’m so glad we went with AARDY! We’re going on a cruise which made it confusing at first trying to figure out which insurance to get and how many policies we needed. Luckily I saw an add on Trustpilot for AARDY, went to their website and called an associate. Shanna was great at telling me what the options were and finding the best deals for our family. She was incredible! She made the experience of finding travel insurance way less scary and she was so personable. I’ll remember to post an update after our trip. Fingers crossed we don’t have to use it!"
Your representative knew the products…,Your representative knew the products we were discussing and provided guidance to us so we ended with the correct policy. She is an excellent reflection of your company.
Preexisting Conditions,The rating is based on the unfair treatment of preexisting conditions. They are willing to overlook them if you buy the insurance when you book the cruise or even with in 60 days. Why? The risk is not any greater today than it was 4 months ago.
Miranda was very professional,"Miranda was very professional. Very pleasant and helpful. She went the extra mile to find me the best insurance for my trip. Was very patient, answered all my questions."
The Respresentative was very…,The Respresentative was very informative and help me make the right choice. I told him what I want covered and that's what I received.
Knowledgeable representative,"Knowledgeable representative.
Great price."
Nadiyah T,Nadiyah T. Was very patient and helpful. Did a great job explaining everything to me.
Simple and affordable insurance,"Simple, easy to understand, and with the click of a button I am insured for my trip abroad in February of 2026."
Very easy to navigate the site,"Very easy to navigate the site. It looks like great travel insurance at an affordable price. I hope it don't have to use it, but if so, I hope it delivers!"
Excellent customer service,Excellent customer service. Felicia was very helpful and personable.
AARDY - Very helpful travel insurance choice,Peter was very easy to talk with. Answered all my questions throughly and offered guidance when requested.
Peter was awesome to work with,Peter was awesome to work with. Very patient and understanding.
Sheena did a great job explaining &…,Sheena did a great job explaining & answering my questions.
I had worked with Denise W and Sereniti…,I had worked with Denise W and Sereniti and they were great in answering my questions and pointing me to the correct coverage.
agent was very helpful,
Great service,Sereniti was very helpful and pleasant to talk to. She answered all my questions confidently. It was great to have a phone number on the site call with my questions.
Great service!,Maranda was very helpful. She answered all of our questions with a smile !
Promt Response,Immediate response from more than 2 agents with excellent quotes that were in my budget. Very impressive.
Peter helped me,Peter helped me. He was very courteous and helpful.
The person I spoke with explained…,The person I spoke with explained things clearly and was very good with talking my information
great communication skills,
Jayson very helpful and knowledgeable,
Friendly and knowledgeable help,The representative was very friendly and knowledgeable about the product. She was able to answer all of my questions and even provided helpful information that I hadn't thought to ask
Easy to use and understand,
Very good customer phone service,"I had numerous emails and calls with Destiny J at AARDY, and purchased two different travel insurance policies. She was kind and patient with my questions."
Very accommodating,"Very accommodating, personable, and helpful…."
Quick easy informative tool to select…,Quick easy informative tool to select an insurance provider
